DeviceID,PeripheralID,Name,MotionType,PositionScale,VelocityScale,AccelerationScale,ForceScale,IsScaleResolutionDependent,
952,6412,T-MCA Controller + LSM200A-V,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6420,T-MCA Controller + LSM200B,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6422,T-MCA Controller + LSM200B-V,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6510,T-MCA Controller + LSM150A,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6512,T-MCA Controller + LSM150A-V,Linear,328083.9895,34995.62555,29.163021,0,1,
952,6520,T-MCA Controller + LSM150B,Linear,82020.99738,8748.906387,7.290755,0,1,
952,6522,T-MCA Controller + LSM150B-V,Linear,82020.99738,8748.906387,7.290755,0,1,
952,7071,T-MCA Controller + LSQ075A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7072,T-MCA Controller + LSQ075B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7074,T-MCA Controller + LSQ075D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7075,T-MCA Controller + LSQ075A-SV,Linear,157480.315,16797.90026,13.99825,0,1,
952,7076,T-MCA Controller + LSQ075B-SV,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7078,T-MCA Controller + LSQ075D-SV,Linear,7874.015748,839.895013,0.699913,0,1,
952,7111,T-MCA Controller + G-LSQ150A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7112,T-MCA Controller + G-LSQ150B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7114,T-MCA Controller + G-LSQ150D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7151,T-MCA Controller + LSQ150A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7152,T-MCA Controller + LSQ150B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7154,T-MCA Controller + LSQ150D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7155,T-MCA Controller + LSQ150A-SV,Linear,157480.315,16797.90026,13.99825,0,1,
952,7156,T-MCA Controller + LSQ150B-SV,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7158,T-MCA Controller + LSQ150D-SV,Linear,7874.015748,839.895013,0.699913,0,1,
952,7301,T-MCA Controller + LSQ300A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7302,T-MCA Controller + LSQ300B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7304,T-MCA Controller + LSQ300D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7331,T-MCA Controller + G-LSQ300A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7332,T-MCA Controller + G-LSQ300B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7334,T-MCA Controller + G-LSQ300D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7441,T-MCA Controller + G-LSQ450A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7442,T-MCA Controller + G-LSQ450B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7444,T-MCA Controller + G-LSQ450D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7451,T-MCA Controller + LSQ450A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7452,T-MCA Controller + LSQ450B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7454,T-MCA Controller + LSQ450D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7601,T-MCA Controller + LSQ600A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7602,T-MCA Controller + LSQ600B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7604,T-MCA Controller + LSQ600D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7661,T-MCA Controller + G-LSQ600A,Linear,157480.315,16797.90026,13.99825,0,1,
952,7662,T-MCA Controller + G-LSQ600B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,7664,T-MCA Controller + G-LSQ600D,Linear,7874.015748,839.895013,0.699913,0,1,
952,7915,T-MCA Controller + LLS915,Linear,100000,10666.66667,8.888889,0,1,
952,8021,T-MCA Controller + LST0250A,Linear,125984.252,13438.32021,11.1986,0,1,
952,8022,T-MCA Controller + LST0250B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,8023,T-MCA Controller + LST0250D,Linear,7874.015748,839.895013,0.699913,0,1,
952,8051,T-MCA Controller + LST0500A,Linear,125984.252,13438.32021,11.1986,0,1,
952,8052,T-MCA Controller + LST0500B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,8053,T-MCA Controller + LST0500D,Linear,7874.015748,839.895013,0.699913,0,1,
952,8071,T-MCA Controller + LST0750A,Linear,125984.252,13438.32021,11.1986,0,1,
952,8072,T-MCA Controller + LST0750B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,8073,T-MCA Controller + LST0750D,Linear,7874.015748,839.895013,0.699913,0,1,
952,8101,T-MCA Controller + LST1000A,Linear,125984.252,13438.32021,11.1986,0,1,
952,8102,T-MCA Controller + LST1000B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,8103,T-MCA Controller + LST1000D,Linear,7874.015748,839.895013,0.699913,0,1,
952,8151,T-MCA Controller + LST1500A,Linear,125984.252,13438.32021,11.1986,0,1,
952,8152,T-MCA Controller + LST1500B,Linear,31496.06299,3359.580052,2.79965,0,1,
952,8153,T-MCA Controller + LST1500D,Linear,7874.015748,839.895013,0.699913,0,1,
952,30816,T-MCA Controller + NA08A16,Linear,328083.9895,34995.62555,29.163021,0,1,
952,30830,T-MCA Controller + NA08A30,Linear,328083.9895,34995.62555,29.163021,0,1,
952,30916,T-MCA Controller + NA08B16,Linear,164041.9948,17497.81277,14.581511,0,1,
952,30930,T-MCA Controller + NA08B30,Linear,164041.9948,17497.81277,14.581511,0,1,
952,31116,T-MCA Controller + NA11B16,Linear,157480.315,16797.90026,13.99825,0,1,
952,31130,T-MCA Controller + NA11B30,Linear,157480.315,16797.90026,13.99825,0,1,
952,31160,T-MCA Controller + NA11B60,Linear,157480.315,16797.90026,13.99825,0,1,
952,31416,T-MCA Controller + NA14B16,Linear,164041.9948,17497.81277,14.581511,0,1,
952,31430,T-MCA Controller + NA14B30,Linear,164041.9948,17497.81277,14.581511,0,1,
952,31460,T-MCA Controller + NA14B60,Linear,164041.9948,17497.81277,14.581511,0,1,
952,32360,T-MCA Controller + NA23C60,Linear,78740.15748,8398.950131,6.999125,0,1,
952,33460,T-MCA Controller + NA34C60,Linear,78740.15748,8398.950131,6.999125,0,1,
1013,0,T-LA13B Actuator,Linear,78740.15748,8398.950131,6.999125,0,1,
1028,0,T-LA28B Actuator,Linear,78740.15748,8398.950131,6.999125,0,1,
1060,0,T-LA60B Actuator,Linear,78740.15748,8398.950131,6.999125,0,1,
1113,0,T-LS13B Stage,Linear,78740.15748,8398.950131,6.999125,0,1,
1128,0,T-LS28B Stage,Linear,78740.15748,8398.950131,6.999125,0,1,
1180,0,T-LS80B Stage,Linear,78740.15748,8398.950131,6.999125,0,1,
2204,0,T-RCS4 Controller,Linear,0,0,0,0,0,
3003,0,T-JOY3 Joystick,Linear,0,0,0,0,0,
4071,0,T-LSR075A Slide,Linear,157480.315,16797.90026,13.99825,0,1,
4072,0,T-LSR075B Slide,Linear,31496.06299,3359.580052,2.79965,0,1,
4073,0,T-LSR75C Slide,Linear,15748.0315,1679.790026,1.399825,0,1,
4074,0,T-LSR075D Slide,Linear,7874.015748,839.895013,0.699913,0,1,
